Category	Frequency	Word	Decade
instruments	2.4167359756098263e-06	violin	1890
instruments	2.7534642936748226e-06	violin	1900
instruments	2.9872085054971484e-06	violin	1910
instruments	3.3003873453085296e-06	violin	1920
instruments	4.457807754740016e-06	violin	1930
instruments	4.674857393082809e-06	violin	1940
instruments	3.365273265316153e-06	violin	1950
instruments	2.9679417232551685e-06	violin	1960
instruments	2.7940045577367964e-06	violin	1970
instruments	2.4453014670600894e-06	violin	1980
instruments	2.2170190800017024e-06	violin	1990
weapons	5.6686417715961226e-06	arrow	1800
weapons	5.2586433138255715e-06	arrow	1810
weapons	6.3993566128016005e-06	arrow	1820
weapons	6.009175825874502e-06	arrow	1830
weapons	6.452692940332417e-06	arrow	1840
weapons	7.28071066349231e-06	arrow	1850
weapons	6.656767774778373e-06	arrow	1860
weapons	7.696919864117496e-06	arrow	1870
weapons	7.591307053499964e-06	arrow	1880
weapons	7.92328110839727e-06	arrow	1890
weapons	7.45198990311132e-06	arrow	1900
weapons	6.8088464040437985e-06	arrow	1910
weapons	6.788533768415901e-06	arrow	1920
weapons	5.8507155359729375e-06	arrow	1930
weapons	6.094887980040043e-06	arrow	1940
weapons	5.78645554718641e-06	arrow	1950
weapons	5.890768431834524e-06	arrow	1960
weapons	6.216421448434587e-06	arrow	1970
weapons	7.32034279618491e-06	arrow	1980
weapons	1.1042067399354581e-05	arrow	1990
weapons	9.392077416634966e-06	club	1800
weapons	7.066474631695904e-06	club	1810
weapons	7.677640708989713e-06	club	1820
weapons	7.714928660914465e-06	club	1830
weapons	7.924207593840122e-06	club	1840
weapons	8.86231916332805e-06	club	1850
weapons	1.0567832549107651e-05	club	1860
weapons	1.1205423618682962e-05	club	1870
weapons	1.4208796983236714e-05	club	1880
weapons	1.9457650652439177e-05	club	1890
weapons	2.1362799501336703e-05	club	1900
weapons	2.8528658031128266e-05	club	1910
weapons	3.260239354845864e-05	club	1920
weapons	2.7730933361607184e-05	club	1930
weapons	2.592959131491044e-05	club	1940
weapons	2.3690049531635353e-05	club	1950
weapons	2.0807990522333825e-05	club	1960
weapons	1.8721357147882648e-05	club	1970
weapons	1.9309126139385213e-05	club	1980
weapons	2.0860771731305718e-05	club	1990
weapons	1.296280795856183e-05	gun	1800
weapons	1.6721748975329407e-05	gun	1810
weapons	1.5480558928071477e-05	gun	1820
weapons	2.1033453935814515e-05	gun	1830
weapons	1.8715555968851695e-05	gun	1840
weapons	2.0849178887629288e-05	gun	1850
weapons	2.507843616780619e-05	gun	1860
weapons	1.9341491462751626e-05	gun	1870
weapons	1.986441966741374e-05	gun	1880
weapons	2.213912437481763e-05	gun	1890
weapons	1.8690533916802523e-05	gun	1900
weapons	2.2090525836223926e-05	gun	1910
weapons	1.9946195431053415e-05	gun	1920
weapons	1.8872475680454517e-05	gun	1930
weapons	2.341233416244534e-05	gun	1940
weapons	1.616896146999988e-05	gun	1950
weapons	1.4728710343624444e-05	gun	1960
weapons	1.4619879156406402e-05	gun	1970
weapons	1.7051423915703376e-05	gun	1980
weapons	1.887450982627535e-05	gun	1990
weapons	5.580158440820957e-07	missile	1800
weapons	4.052194497518829e-07	missile	1810
weapons	5.532617640264294e-07	missile	1820
weapons	3.0072650034447684e-07	missile	1830
weapons	1.958646714639432e-07	missile	1840
weapons	3.09669352511041e-07	missile	1850
weapons	2.6359743511613633e-07	missile	1860
weapons	2.1866397343927352e-07	missile	1870
weapons	2.399770622832303e-07	missile	1880
weapons	3.606334630903899e-07	missile	1890
weapons	2.84875227654763e-07	missile	1900
weapons	2.4303490479339747e-07	missile	1910
weapons	2.1279362150535399e-07	missile	1920
weapons	1.6409828132695904e-07	missile	1930
weapons	2.9721173645073916e-07	missile	1940
weapons	1.0860731950103723e-06	missile	1950
weapons	3.051398110176716e-06	missile	1960
weapons	3.3238253880208586e-06	missile	1970
weapons	5.1314392472193945e-06	missile	1980
weapons	3.7264995034431132e-06	missile	1990
weapons	5.437443391183592e-06	spear	1800
weapons	4.495173032361228e-06	spear	1810
weapons	5.410741329541259e-06	spear	1820
weapons	5.03382251763559e-06	spear	1830
weapons	4.937813414913874e-06	spear	1840
weapons	5.108641866195883e-06	spear	1850
weapons	5.292464540433181e-06	spear	1860
weapons	5.362857450842397e-06	spear	1870
weapons	5.123755154300316e-06	spear	1880
weapons	5.391798121804138e-06	spear	1890
weapons	4.225793398686186e-06	spear	1900
weapons	3.4632473933059144e-06	spear	1910
weapons	3.583339502880282e-06	spear	1920
weapons	3.1478710146274677e-06	spear	1930
weapons	2.2417135506465338e-06	spear	1940
weapons	2.2792000703057808e-06	spear	1950
weapons	2.3730114305755345e-06	spear	1960
weapons	1.943238007190075e-06	spear	1970
weapons	1.7485920307810618e-06	spear	1980
weapons	1.6722759753523414e-06	spear	1990
weapons	4.589715996337646e-06	axe	1800
weapons	4.237306109791849e-06	axe	1810
weapons	5.35632213963702e-06	axe	1820
weapons	6.911801508659185e-06	axe	1830
weapons	6.131431514259639e-06	axe	1840
weapons	6.683030764141275e-06	axe	1850
weapons	6.142006745825163e-06	axe	1860
weapons	5.861546512740763e-06	axe	1870
weapons	5.855440319710818e-06	axe	1880
weapons	5.785544293778282e-06	axe	1890
weapons	5.152842892238627e-06	axe	1900
weapons	3.5751638205722132e-06	axe	1910
weapons	3.347211214092932e-06	axe	1920
weapons	3.1156883077686567e-06	axe	1930
weapons	2.527835296931201e-06	axe	1940
weapons	2.6014951543842476e-06	axe	1950
weapons	2.3926294327079347e-06	axe	1960
weapons	1.9799481524126093e-06	axe	1970
weapons	1.6088242469674885e-06	axe	1980
weapons	1.453393236105905e-06	axe	1990
weapons	4.628249059739735e-06	dagger	1800
weapons	3.947205821901296e-06	dagger	1810
weapons	5.101799053522402e-06	dagger	1820
weapons	4.187861917260029e-06	dagger	1830
weapons	3.4153450369109357e-06	dagger	1840
weapons	3.4643775356688983e-06	dagger	1850
weapons	3.1028650911901806e-06	dagger	1860
weapons	2.777370468820832e-06	dagger	1870
weapons	3.044084547607441e-06	dagger	1880
weapons	3.3063531593332565e-06	dagger	1890
weapons	3.093460715053674e-06	dagger	1900
weapons	1.820039107182159e-06	dagger	1910
weapons	1.8646099034739297e-06	dagger	1920
weapons	1.6916035292662623e-06	dagger	1930
weapons	1.3995567589583316e-06	dagger	1940
weapons	1.397594868466934e-06	dagger	1950
weapons	1.3521084922457986e-06	dagger	1960
weapons	1.0798092646889884e-06	dagger	1970
weapons	1.0056072954368897e-06	dagger	1980
weapons	9.965909638318497e-07	dagger	1990
